CensusId,County,County Unemployment Rate
1001,Autauga,9.4
1003,Baldwin,9.2
1005,Barbour,14.3
1007,Bibb,12.2
1009,Blount,9.7
1011,Bullock,15
1013,Butler,14.8
1015,Calhoun,14.2
1017,Chambers,17.2
1019,Cherokee,10.5
1021,Chilton,10.3
1023,Choctaw,14.1
1025,Clarke,18.9
1027,Clay,12.9
1029,Cleburne,11.2
1031,Coffee,7.7
1033,Colbert,9.9
1035,Conecuh,24.8
1037,Coosa,17.7
1039,Covington,11
1041,Crenshaw,9.5
1043,Cullman,9.7
1045,Dale,10.4
1047,Dallas,20
1049,DeKalb,11.4
1051,Elmore,8.9
1053,Escambia,15.8
1055,Etowah,11.8
1057,Fayette,9.8
1059,Franklin,10
1061,Geneva,9.4
1063,Greene,24.1
1065,Hale,16.2
1067,Henry,12.1
1069,Houston,8.2
1071,Jackson,10.2
1073,Jefferson,10.3
1075,Lamar,10.1
1077,Lauderdale,9.2
1079,Lawrence,12.7
1081,Lee,9.4
1083,Limestone,9.1
1085,Lowndes,17.5
1087,Macon,18.2
1089,Madison,10
1091,Marengo,10.6
1093,Marion,11.9
1095,Marshall,10.2
1097,Mobile,11.9
1099,Monroe,18.9
1101,Montgomery,8.9
1103,Morgan,11.8
1105,Perry,19.9
1107,Pickens,16.4
1109,Pike,10.7
1111,Randolph,12.1
1113,Russell,11.9
1115,St. Clair,10.8
1117,Shelby,6.5
1119,Sumter,17.6
1121,Talladega,15.1
1123,Tallapoosa,11.4
1125,Tuscaloosa,8.1
1127,Walker,14.5
1129,Washington,20.4
1131,Wilcox,27.1
1133,Winston,10.4
2013,Aleutians East Borough,1.7
2016,Aleutians West Census Area,4
2020,Anchorage Municipality,7.3
2050,Bethel Census Area,18.6
2060,Bristol Bay Borough,4.6
2068,Denali Borough,2.3
2070,Dillingham Census Area,16.1
2090,Fairbanks North Star Borough,7.9
2100,Haines Borough,8.3
2105,Hoonah-Angoon Census Area,13.9
2110,Juneau City and Borough,5.3
2122,Kenai Peninsula Borough,9.8
2130,Ketchikan Gateway Borough,8.7
2150,Kodiak Island Borough,6.9
2158,Kusilvak Census Area,10.9
2164,Lake and Peninsula Borough,10.5
2170,Matanuska-Susitna Borough,17.9
2180,Nome Census Area,12
2185,North Slope Borough,26.2
2188,Northwest Arctic Borough,6
2195,Petersburg Borough,12.8
2198,Prince of Wales-Hyder Census Area,5.3
2220,Sitka City and Borough,7.8
2230,Skagway Municipality,9.2
2240,Southeast Fairbanks Census Area,8
2261,Valdez-Cordova Census Area,28.1
2275,Wrangell City and Borough,8
2282,Yakutat City and Borough,6.2
2290,Yukon-Koyukuk Census Area,21.9
4001,Apache,20.7
4003,Cochise,9.4
4005,Coconino,9
4007,Gila,12.2
4009,Graham,13.1
4011,Greenlee,11.8
4012,La Paz,10.8
4013,Maricopa,9.5
4015,Mohave,14.5
4017,Navajo,19.4
4019,Pima,10.9
4021,Pinal,12.1
4023,Santa Cruz,13.1
4025,Yavapai,10.8
4027,Yuma,13.6
5001,Arkansas,8.2
5003,Ashley,11.2
5005,Baxter,10.4
5007,Benton,5.6
5009,Boone,9.3
5011,Bradley,8.3
5013,Calhoun,6.7
5015,Carroll,7.7
5017,Chicot,13.1
5019,Clark,11.1
5021,Clay,12.5
5023,Cleburne,10.9
5025,Cleveland,11.3
5027,Columbia,11.5
5029,Conway,10.3
5031,Craighead,9.1
5033,Crawford,8.6
5035,Crittenden,11.9
5037,Cross,9.7
5039,Dallas,9.6
5041,Desha,14.2
5043,Drew,13.2
5045,Faulkner,7.4
5047,Franklin,11.8
5049,Fulton,10.6
5051,Garland,10
5053,Grant,7.6
5055,Greene,9.2
5057,Hempstead,9.6
5059,Hot Spring,8.8
5061,Howard,9.4
5063,Independence,9
5065,Izard,11.4
5067,Jackson,11.6
5069,Jefferson,13.4
5071,Johnson,7.9
5073,Lafayette,15.5
5075,Lawrence,9.5
5077,Lee,16.7
5079,Lincoln,16.9
5081,Little River,6.5
5083,Logan,8.6
5085,Lonoke,8.1
5087,Madison,9.7
5089,Marion,10
5091,Miller,9.2
5093,Mississippi,13.3
5095,Monroe,14.3
5097,Montgomery,5.4
5099,Nevada,10.8
5101,Newton,4.8
5103,Ouachita,13.1
5105,Perry,8.6
5107,Phillips,20
5109,Pike,8.4
5111,Poinsett,12.8
5113,Polk,7.1
5115,Pope,8
5117,Prairie,5.3
5119,Pulaski,8.6
5121,Randolph,6.9
5123,St. Francis,12.7
5125,Saline,6.4
5127,Scott,9.2
5129,Searcy,7.3
5131,Sebastian,6.8
5133,Sevier,11.5
5135,Sharp,9.8
5137,Stone,6.3
5139,Union,10.2
5141,Van Buren,13.3
5143,Washington,7.6
5145,White,7.2
5147,Woodruff,10.8
5149,Yell,8.3
6001,Alameda,10.3
6003,Alpine,9.8
6005,Amador,16.8
6007,Butte,14.1
6009,Calaveras,11.6
6011,Colusa,13.3
6013,Contra Costa,10.4
6015,Del Norte,12.3
6017,El Dorado,12
6019,Fresno,14.5
6021,Glenn,12.8
6023,Humboldt,11.1
6025,Imperial,18.5
6027,Inyo,8.7
6029,Kern,13.7
6031,Kings,15.2
6033,Lake,16.5
6035,Lassen,13.6
6037,Los Angeles,11.4
6039,Madera,10.7
6041,Marin,7.6
6043,Mariposa,14.4
6045,Mendocino,12.1
6047,Merced,17.9
6049,Modoc,10.7
6051,Mono,10.3
6053,Monterey,11
6055,Napa,9.1
6057,Nevada,10.7
6059,Orange,9.4
6061,Placer,10
6063,Plumas,17.2
6065,Riverside,14.9
6067,Sacramento,13.7
6069,San Benito,13.8
6071,San Bernardino,14.5
6073,San Diego,10
6075,San Francisco,8.3
6077,San Joaquin,16.2
6079,San Luis Obispo,8.5
6081,San Mateo,8.1
6083,Santa Barbara,9.4
6085,Santa Clara,9.7
6087,Santa Cruz,9.3
6089,Shasta,13.4
6091,Sierra,10.2
6093,Siskiyou,14.9
6095,Solano,12.1
6097,Sonoma,10.2
6099,Stanislaus,16.8
6101,Sutter,15
6103,Tehama,15.8
6105,Trinity,15.8
6107,Tulare,14.5
6109,Tuolumne,17.3
6111,Ventura,9.6
6113,Yolo,10.4
6115,Yuba,19.3
8001,Adams,10
8003,Alamosa,11.5
8005,Arapahoe,8.8
8007,Archuleta,10.2
8009,Baca,3.8
8011,Bent,12
8013,Boulder,7.3
8014,Broomfield,6.5
8015,Chaffee,7.5
8017,Cheyenne,4.3
8019,Clear Creek,7.5
8021,Conejos,8.7
8023,Costilla,16.9
8025,Crowley,28.2
8027,Custer,15.4
8029,Delta,11.5
8031,Denver,8.7
8033,Dolores,10
8035,Douglas,5.6
8037,Eagle,5.7
8039,Elbert,7.8
8041,El Paso,9.5
8043,Fremont,8.5
8045,Garfield,8.7
8047,Gilpin,6.4
8049,Grand,5.9
8051,Gunnison,8.3
8053,Hinsdale,4.3
8055,Huerfano,13.3
8057,Jackson,1.5
8059,Jefferson,7.7
8061,Kiowa,4
8063,Kit Carson,5
8065,Lake,7.8
8067,La Plata,6.5
8069,Larimer,8.1
8071,Las Animas,9.1
8073,Lincoln,6.7
8075,Logan,10.8
8077,Mesa,8.7
8079,Mineral,2.9
8081,Moffat,7
8083,Montezuma,11.7
8085,Montrose,11
8087,Morgan,6.4
8089,Otero,11.9
8091,Ouray,11
8093,Park,8.3
8095,Phillips,6.3
8097,Pitkin,7.1
8099,Prowers,9.7
8101,Pueblo,11.6
8103,Rio Blanco,5.6
8105,Rio Grande,8.1
8107,Routt,5.6
8109,Saguache,9.7
8111,San Juan,18
8113,San Miguel,6.1
8115,Sedgwick,9.9
8117,Summit,6.2
8119,Teller,10.5
8121,Washington,4.7
8123,Weld,8.1
8125,Yuma,3.6
9001,Fairfield,9.9
9003,Hartford,10.3
9005,Litchfield,8.3
9007,Middlesex,7
9009,New Haven,10.5
9011,New London,8.8
9013,Tolland,7.5
9015,Windham,11.2
10001,Kent,9.8
10003,New Castle,8.6
10005,Sussex,9
11001,District of Columbia,11
12001,Alachua,8.6
12003,Baker,11.4
12005,Bay,9.9
12007,Bradford,15.7
12009,Brevard,12.4
12011,Broward,11.9
12013,Calhoun,10.2
12015,Charlotte,13.7
12017,Citrus,15.8
12019,Clay,11.3
12021,Collier,10.1
12023,Columbia,18.8
12027,DeSoto,12.6
12029,Dixie,9
12031,Duval,11.7
12033,Escambia,12
12035,Flagler,12.4
12037,Franklin,12
12039,Gadsden,14.1
12041,Gilchrist,16.5
12043,Glades,15.8
12045,Gulf,11.9
12047,Hamilton,16.3
12049,Hardee,13.9
12051,Hendry,15.4
12053,Hernando,17.2
12055,Highlands,15.2
12057,Hillsborough,11
12059,Holmes,11.1
12061,Indian River,14.7
12063,Jackson,12.9
12065,Jefferson,14.9
12067,Lafayette,11.2
12069,Lake,12
12071,Lee,13.5
12073,Leon,11.2
12075,Levy,14.8
12077,Liberty,20.6
12079,Madison,14.2
12081,Manatee,11.3
12083,Marion,13.8
12085,Martin,12.8
12086,Miami-Dade,11.8
12087,Monroe,7.5
12089,Nassau,10.1
12091,Okaloosa,8.8
12093,Okeechobee,15.9
12095,Orange,11.4
12097,Osceola,12.8
12099,Palm Beach,11.8
12101,Pasco,12.1
12103,Pinellas,10.5
12105,Polk,12.6
12107,Putnam,14.1
12109,St. Johns,7.8
12111,St. Lucie,15
12113,Santa Rosa,11
12115,Sarasota,11.4
12117,Seminole,10.7
12119,Sumter,13.2
12121,Suwannee,11.7
12123,Taylor,13.2
12125,Union,9.6
12127,Volusia,11.2
12129,Wakulla,10.5
12131,Walton,9.9
12133,Washington,13.5
13001,Appling,7
13003,Atkinson,10.2
13005,Bacon,4.9
13007,Baker,13.8
13009,Baldwin,9.8
13011,Banks,10.1
13013,Barrow,12
13015,Bartow,11.3
13017,Ben Hill,14.8
13019,Berrien,14.3
13021,Bibb,11.8
13023,Bleckley,8.7
13025,Brantley,11.4
13027,Brooks,15.8
13029,Bryan,10.2
13031,Bulloch,9.2
13033,Burke,9.5
13035,Butts,13.1
13037,Calhoun,5.7
13039,Camden,11
13043,Candler,9.1
13045,Carroll,12.8
13047,Catoosa,10.3
13049,Charlton,18.5
13051,Chatham,10
13053,Chattahoochee,17.9
13055,Chattooga,10.3
13057,Cherokee,8.1
13059,Clarke,9.2
13061,Clay,17.3
13063,Clayton,17
13065,Clinch,11.8
13067,Cobb,9.7
13069,Coffee,10.5
13071,Colquitt,9.7
13073,Columbia,7.9
13075,Cook,10.7
13077,Coweta,8.5
13079,Crawford,12.4
13081,Crisp,16.6
13083,Dade,10.6
13085,Dawson,11.1
13087,Decatur,8.6
13089,DeKalb,14
13091,Dodge,11.3
13093,Dooly,8.5
13095,Dougherty,17
13097,Douglas,13.2
13099,Early,8.6
13101,Echols,8.8
13103,Effingham,8.4
13105,Elbert,12.9
13107,Emanuel,14.5
13109,Evans,9
13111,Fannin,15
13113,Fayette,9
13115,Floyd,12.6
13117,Forsyth,8.2
13119,Franklin,10.4
13121,Fulton,11.6
13123,Gilmer,10.9
13125,Glascock,11
13127,Glynn,11.6
13129,Gordon,10.1
13131,Grady,13.3
13133,Greene,10.4
13135,Gwinnett,10.4
13137,Habersham,10.4
13139,Hall,9.4
13141,Hancock,18.6
13143,Haralson,15.6
13145,Harris,8.4
13147,Hart,9.2
13149,Heard,13.3
13151,Henry,11.6
13153,Houston,10.7
13155,Irwin,10.2
13157,Jackson,8.6
13159,Jasper,13.1
13161,Jeff Davis,10.5
13163,Jefferson,17.4
13165,Jenkins,13.7
13167,Johnson,9.8
13169,Jones,9.5
13171,Lamar,16.3
13173,Lanier,11.4
13175,Laurens,7.2
13177,Lee,7.9
13179,Liberty,13.5
13181,Lincoln,12.2
13183,Long,16
13185,Lowndes,13.3
13187,Lumpkin,13.2
13189,McDuffie,11.2
13191,McIntosh,14.2
13193,Macon,16
13195,Madison,7.9
13197,Marion,14.9
13199,Meriwether,16.5
13201,Miller,9.7
13205,Mitchell,11.3
13207,Monroe,10
13209,Montgomery,5
13211,Morgan,8.2
13213,Murray,13.1
13215,Muscogee,12
13217,Newton,13.8
13219,Oconee,6.3
13221,Oglethorpe,6.9
13223,Paulding,10.6
13225,Peach,14
13227,Pickens,9.8
13229,Pierce,8.9
13231,Pike,9.7
13233,Polk,14.3
13235,Pulaski,10.8
13237,Putnam,8.1
13239,Quitman,14.4
13241,Rabun,9.8
13243,Randolph,16.7
13245,Richmond,13.1
13247,Rockdale,13.3
13249,Schley,8
13251,Screven,11.8
13253,Seminole,9.6
13255,Spalding,14.1
13257,Stephens,12.8
13259,Stewart,19.4
13261,Sumter,13.2
13263,Talbot,14.6
13265,Taliaferro,17.1
13267,Tattnall,12.4
13269,Taylor,15.8
13271,Telfair,2.3
13273,Terrell,16.6
13275,Thomas,13.3
13277,Tift,8.8
13279,Toombs,9.7
13281,Towns,14.3
13283,Treutlen,5.6
13285,Troup,13.9
13287,Turner,12.4
13289,Twiggs,13.2
13291,Union,14.2
13293,Upson,15
13295,Walker,11.4
13297,Walton,8.7
13299,Ware,9.8
13301,Warren,15.9
13303,Washington,11.6
13305,Wayne,14.2
13307,Webster,9
