CountyId,County,County Unemployment rate 2015
1001,Autauga,7.6
1003,Baldwin,7.5
1005,Barbour,17.6
1007,Bibb,8.3
1009,Blount,7.7
1011,Bullock,18
1013,Butler,10.9
1015,Calhoun,12.3
1017,Chambers,8.9
1019,Cherokee,7.9
1021,Chilton,9.1
1023,Choctaw,13.6
1025,Clarke,19.4
1027,Clay,9.4
1029,Cleburne,8.3
1031,Coffee,7.1
1033,Colbert,9
1035,Conecuh,22.6
1037,Coosa,17
1039,Covington,11.2
1041,Crenshaw,9.7
1043,Cullman,7.3
1045,Dale,10.9
1047,Dallas,16.4
1049,DeKalb,7.7
1051,Elmore,8.3
1053,Escambia,15.6
1055,Etowah,9
1057,Fayette,10
1059,Franklin,9.8
1061,Geneva,11.2
1063,Greene,20.4
1065,Hale,13.3
1067,Henry,8.1
1069,Houston,8.3
1071,Jackson,10.1
1073,Jefferson,9.1
1075,Lamar,10.2
1077,Lauderdale,7.1
1079,Lawrence,9.8
1081,Lee,7.3
1083,Limestone,7.8
1085,Lowndes,13.2
1087,Macon,16.9
1089,Madison,8.5
1091,Marengo,11.4
1093,Marion,9.9
1095,Marshall,8.4
1097,Mobile,9.8
1099,Monroe,20.7
1101,Montgomery,8.8
1103,Morgan,9.9
1105,Perry,11.2
1107,Pickens,13.8
1109,Pike,10.2
1111,Randolph,10.3
1113,Russell,11.1
1115,St. Clair,8.4
1117,Shelby,5.5
1119,Sumter,16.8
1121,Talladega,13.8
1123,Tallapoosa,9
1125,Tuscaloosa,7.6
1127,Walker,11.4
1129,Washington,20
1131,Wilcox,20.8
1133,Winston,9.6
2013,Aleutians East Borough,2.9
2016,Aleutians West Census Area,2.1
2020,Anchorage Municipality,6.7
2050,Bethel Census Area,17.6
2060,Bristol Bay Borough,5.4
2068,Denali Borough,2.3
2070,Dillingham Census Area,12.5
2090,Fairbanks North Star Borough,7.9
2100,Haines Borough,3
2105,Hoonah-Angoon Census Area,13.1
2110,Juneau City and Borough,5.2
2122,Kenai Peninsula Borough,9.4
2130,Ketchikan Gateway Borough,7.9
2150,Kodiak Island Borough,6.3
2158,Kusilvak Census Area,28.6
2164,Lake and Peninsula Borough,9.8
2170,Matanuska-Susitna Borough,9.8
2180,Nome Census Area,16.5
2185,North Slope Borough,9.3
2188,Northwest Arctic Borough,21.9
2195,Petersburg Borough,8.4
2198,Prince of Wales-Hyder Census Area,13.9
2220,Sitka City and Borough,3.8
2230,Skagway Municipality,7.8
2240,Southeast Fairbanks Census Area,9.4
2261,Valdez-Cordova Census Area,10.7
2275,Wrangell City and Borough,7.5
2282,Yakutat City and Borough,7.9
2290,Yukon-Koyukuk Census Area,18.2
4001,Apache,18.2
4003,Cochise,8.7
4005,Coconino,8.8
4007,Gila,12.8
4009,Graham,14.1
4011,Greenlee,10
4012,La Paz,11.2
4013,Maricopa,7.7
4015,Mohave,13.2
4017,Navajo,19.8
4019,Pima,10
4021,Pinal,10.6
4023,Santa Cruz,11.3
4025,Yavapai,10
4027,Yuma,13.1
5001,Arkansas,8.3
5003,Ashley,11.8
5005,Baxter,7.6
5007,Benton,4.2
5009,Boone,8.4
5011,Bradley,9.4
5013,Calhoun,7.2
5015,Carroll,6.2
5017,Chicot,11.5
5019,Clark,8.4
5021,Clay,9.5
5023,Cleburne,10.2
5025,Cleveland,9.7
5027,Columbia,10.1
5029,Conway,8.1
5031,Craighead,7.5
5033,Crawford,7.9
5035,Crittenden,9.9
5037,Cross,8.6
5039,Dallas,8.3
5041,Desha,17.7
5043,Drew,14.3
5045,Faulkner,6.6
5047,Franklin,11
5049,Fulton,7.6
5051,Garland,9.2
5053,Grant,9.4
5055,Greene,9
5057,Hempstead,7.9
5059,Hot Spring,7.6
5061,Howard,8.5
5063,Independence,6.9
5065,Izard,10
5067,Jackson,7.9
5069,Jefferson,11.2
5071,Johnson,6.2
5073,Lafayette,12.5
5075,Lawrence,6.9
5077,Lee,17.3
5079,Lincoln,14.2
5081,Little River,8.8
5083,Logan,8.1
5085,Lonoke,5.9
5087,Madison,7.3
