,TotalPop,Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,Total; Estimate; AGE - 45 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 74 years,Total; Estimate; AGE - 75 years and over
0,55036,3060,3422,3409,3315,7716,8173,3530,2698,4560,2918
1,203360,9200,10178,11433,11307,24627,27202,13043,14013,21054,14322
2,26201,1144,1833,1972,1898,3360,3783,1848,1622,2616,1709
3,22580,1349,1361,1545,1541,3445,3131,1351,1361,1986,1269
4,57667,3291,3140,3289,3479,7445,8246,3740,3697,5804,3708
5,10478,341,874,591,730,1686,1421,593,859,944,614
6,20126,947,1272,1164,1292,2353,2673,1422,1468,1954,1670
7,115527,6000,8646,7657,7106,14167,15887,8110,7706,10400,7667
8,33895,1498,2180,1973,1903,4171,4854,2790,2001,3499,2623
9,25855,1084,1424,1233,1291,3059,3837,2004,2154,3234,1922
10,43805,2070,2806,2667,2737,6041,5843,2884,2758,3886,2656
11,13188,604,762,629,695,1542,1985,1026,944,1571,1142
12,24625,1400,1600,1248,1435,3065,3641,1746,1602,2497,1894
13,13407,766,632,652,633,1730,2054,896,1013,1439,1118
14,14939,636,804,835,802,1981,2171,1042,934,1575,1080
15,51073,2601,3096,3336,3158,6882,6960,3342,2938,4416,3432
16,54435,2909,3255,3145,3211,6595,7592,3878,3754,5569,4264
17,12649,552,823,619,660,1393,1795,1027,894,1467,1050
18,10955,541,667,485,537,1450,1743,1035,803,1192,777
19,37519,1775,2274,2051,2121,4414,5191,2547,2727,4037,3382
20,13866,839,724,778,663,1822,1991,1071,846,1379,998
21,81703,4112,5030,4850,4797,10010,11370,5393,5320,8319,5714
22,49393,2675,3377,3658,3596,5991,6420,3487,2664,4253,3176
23,40755,2125,2836,2499,2410,4608,5736,2916,2856,3788,2640
24,71194,3866,4376,4015,4156,9539,9751,4519,4643,6286,4318
25,80989,4368,5678,5159,5565,11341,11631,5544,4449,6647,4116
26,37621,2094,2426,2203,2357,4866,5615,2556,2287,3538,2585
27,103132,5164,6635,5891,6005,13604,14260,7378,6937,10132,7384
28,16657,826,960,922,956,1917,2439,1261,1174,1886,1325
29,31507,1618,2111,1978,1932,4008,4372,2004,1730,3000,2051
30,26572,1286,1510,1420,1525,3396,3689,2118,1640,2886,2088
31,8533,424,511,469,485,845,1174,777,657,817,699
32,14995,889,944,828,779,1688,2233,967,1186,1463,1127
33,17110,632,1090,785,837,2263,2303,1314,1291,2018,1402
34,104108,5058,6293,6726,6611,13262,14171,7011,6279,9298,6916
35,52326,2585,2963,2853,2975,6788,7460,4071,3600,5766,3677
36,659460,33538,44703,48288,46374,83564,88528,46683,39720,50057,41755
37,14021,630,815,704,757,1726,1950,1087,1021,1506,1266
38,92590,5105,7922,5359,5130,10795,12488,6644,5944,9276,7234
39,33288,1665,2097,1954,1873,4261,5189,2719,1990,3293,2013
40,156597,11459,22487,11735,10087,18477,17601,7454,7584,9266,5743
41,91695,4590,4955,5764,6297,12374,13645,6117,4951,7194,4662
42,10362,537,745,641,594,1152,1578,854,613,1063,710
43,19358,1968,2396,1134,860,1956,2469,1287,1449,1853,1374
44,353213,19505,24562,24407,22802,43228,53986,23139,19716,25977,20021
45,19743,1119,1260,1070,1026,2373,2772,1406,1406,2065,1665
46,30058,1381,1692,1580,1644,3822,4453,1743,2445,3459,2504
47,94738,4727,5751,5922,5669,12159,12573,5760,5864,8820,6268
48,414328,21956,29997,28653,26846,50285,55963,27507,25539,34106,24300
49,21745,1347,1312,1079,1157,2607,3111,1729,1407,2167,1656
50,227120,13410,18115,17035,15933,28590,29223,14409,12960,16424,12962
51,119157,5922,7287,7340,7582,15554,17500,8428,7241,10713,7619
52,9680,902,1036,238,587,1077,1164,662,625,1068,694
53,20170,992,1282,1162,1177,2226,2981,1367,1402,1984,1540
54,33287,2569,5380,2423,1767,3425,3663,1979,1690,2639,1920
55,22530,1137,1438,1015,1094,2831,3144,1787,1400,2356,1922
56,58480,2955,4046,4782,4380,7338,7655,3788,2982,4243,3004
57,86937,3817,5127,5217,5845,12105,12343,5632,5489,7779,4836
58,208721,10429,11508,12617,14138,30038,29658,13199,12259,15623,9594
59,13084,1018,1812,595,591,1327,1655,983,868,1105,1004
60,80888,3856,5294,4848,4944,10744,11599,6000,5268,7637,5074
61,40756,1823,2423,2178,2256,4807,5779,3191,2918,4610,3169
62,204424,14767,27051,15759,13189,23132,23161,12240,10532,13135,9812
63,64927,3054,4105,3564,3770,8196,9312,4644,4641,6871,4788
64,16746,1088,942,966,951,2004,2421,1251,1212,1621,1082
65,10919,767,685,559,614,1259,1452,790,801,1095,829
66,23968,1088,1306,1237,1366,2913,3559,1629,1855,2802,1890
67,3338,107,313,215,258,551,816,265,222,142,51
68,5784,350,472,437,468,919,1022,386,376,260,40
69,298225,15676,26819,27213,23172,38083,40418,20164,14767,16515,8968
70,17957,1165,1435,1454,1126,1951,2135,917,710,755,396
71,917,55,62,59,57,123,197,95,49,43,26
72,2303,85,210,163,147,313,338,129,150,115,28
73,4974,320,420,362,310,508,626,370,266,249,138
74,100031,5361,11382,10113,7959,12157,11795,5870,5321,5122,2400
75,2537,140,126,179,173,282,362,332,183,318,105
76,2146,80,90,95,142,214,389,212,268,223,72
77,32434,1749,2069,2459,2475,4353,5079,2698,2044,2130,1031
78,57961,2931,3574,3492,3447,6663,8338,4815,4631,5124,2527
79,13745,670,890,956,891,1659,2103,1106,1024,1048,533
80,13773,880,1133,973,1100,1786,1892,1039,644,830,272
81,8129,611,741,682,416,724,863,359,238,263,153
82,1301,100,122,109,91,134,239,107,84,63,31
83,101135,5407,6281,6606,6549,12667,13719,6905,5503,5973,2772
84,9869,641,808,804,643,1094,1158,514,471,495,212
85,9757,468,740,812,831,1176,1668,818,522,314,142
86,7715,485,737,625,507,812,884,395,285,304,213
87,3275,206,187,172,184,459,447,280,235,266,129
88,6473,337,356,387,368,760,1025,601,456,488,215
89,8810,495,488,604,618,1214,1285,745,588,672,447
90,1038,16,54,66,87,159,182,160,53,62,23
91,6889,431,411,442,385,889,1007,598,370,532,227
92,9439,384,736,682,611,1137,1431,871,655,718,219
93,2475,115,100,116,107,197,381,278,223,259,257
94,682,32,39,26,35,85,122,56,45,51,18
95,5453,309,371,371,347,547,753,413,385,469,258
96,71602,4963,4972,4336,4032,7981,9195,4520,3823,5538,3769
97,126516,6727,8177,8688,8088,14016,15809,8377,8927,14374,10270
98,138639,13056,17429,9677,8435,15101,16140,8600,7434,9029,5146
99,53145,2183,2847,2468,2344,4712,6669,4577,4037,8097,5493
100,37700,2330,3088,2799,2690,4663,4273,2024,1836,2569,1932
101,9368,561,525,670,664,1184,1033,530,526,548,493
102,20477,868,868,827,901,1479,2192,1472,1485,4043,3109
103,4155501,220286,283042,288634,281336,539197,522995,232062,209667,308128,230326
104,204691,8856,10091,10000,9721,19542,26292,16230,16084,31104,21525
105,107902,6297,6989,6451,5908,11480,13420,7379,6205,10068,6249
106,1007257,57102,87632,61529,62260,114543,122685,63881,62467,95467,75764
107,405537,19170,21643,25271,27680,51974,44413,21591,24044,42690,24202
108,46358,2748,3305,2368,2442,5386,5911,2911,2865,4278,2901
109,220972,9816,10252,9615,9664,19586,27124,18101,19897,34655,24082
110,204281,12539,17457,14140,12535,22568,22474,10126,9341,18389,15837
111,18352,963,987,1074,1186,2269,2483,1387,1331,1791,1426
112,20771,993,1352,1057,1355,2508,2982,1478,1347,2192,1538
113,41093,1566,1664,1995,1800,3883,5161,3026,3406,6664,5470
114,251823,12356,13602,16478,18664,33527,30762,12988,11636,17255,12930
115,37212,1831,2027,2116,2163,4498,5013,2338,2549,4028,3197
116,10994,457,691,596,742,1233,1573,823,667,1114,901
117,5194,242,384,277,245,599,825,504,279,563,444
118,27782,1218,1484,1297,1530,2992,3559,2274,1994,3573,2154
119,11008,620,578,601,581,1280,1560,889,746,1098,1060
120,22495,2223,3464,1079,898,2527,2616,1154,1391,1936,1581
121,15190,717,874,803,804,1812,2166,1134,1002,1777,1424
122,25361,1146,1305,1235,1351,2615,3487,1916,1784,3562,2905
123,8332,574,458,382,438,1067,1204,511,641,862,673
124,23992,2148,2512,1361,1260,2629,2929,1313,1583,2046,1915
125,20954,1011,1282,1208,1201,2467,2968,1465,1357,2137,1680
126,104246,6037,8733,8054,7173,12860,12310,5490,5658,7242,5445
127,62119,3047,3747,3715,3557,7952,8820,3950,3853,5562,3633
128,49278,2679,3367,3439,3126,6095,6721,2999,2871,3529,2399
129,17164,936,970,944,937,2319,2437,1229,1033,1754,1173
130,7585,400,443,347,312,978,1044,546,620,859,688
131,12094,695,752,711,559,1397,1681,833,927,1190,885
132,18620,1470,2018,937,1034,2030,2425,1272,989,1577,1376
133,121282,7877,13748,9262,8122,14892,14710,6642,5400,7764,5185
134,17803,958,1069,972,1022,2103,2378,1167,1223,1800,1426
135,12092,517,534,511,561,1332,1650,889,1021,1776,1233
136,97994,4545,5369,5343,5518,10847,12836,7176,6766,11603,9164
137,18076,1046,988,1158,1081,2289,2715,1287,1036,1746,1083
138,44197,2263,2956,2740,2686,5717,5932,2790,2457,3792,2605
139,22154,1199,1049,1364,1334,2674,3042,1258,1546,1882,1694
140,33480,1396,2133,2153,2208,3947,4630,2546,2136,3436,2265
141,13472,656,736,786,764,1616,1891,912,792,1227,954
142,37097,2042,2155,2185,2445,4489,5012,2415,2333,3280,2792
143,13521,587,643,617,680,1463,1920,1197,857,1853,1463
144,17429,765,1108,1251,1239,2280,2586,1221,1106,1718,1191
145,71373,4037,5484,4719,4561,8523,10149,5708,4329,6193,4564
146,26155,1545,1783,1622,1424,3172,3598,1618,1521,2342,1681
147,7051,376,390,368,355,799,1034,527,539,884,647
148,16777,980,1168,860,931,1970,2293,1022,1139,1798,1479
149,9614,446,857,576,805,1274,1306,735,617,919,743
150,13885,564,1105,1251,1149,2114,2125,907,705,999,837
151,12494,547,594,706,690,1811,1646,910,843,1468,936
152,21802,1239,1213,1056,1096,2646,3268,1642,1340,2386,1769
153,71568,3598,4279,4851,5140,9903,9494,4205,3626,5187,3427
154,15907,923,829,786,890,1860,2368,1189,1005,1608,1069
155,16374,673,716,728,701,1531,2373,1362,1622,2635,1636
156,43760,2021,2775,2907,3054,5465,6006,2772,2788,3766,2647
157,43534,2518,3069,2989,2835,5358,6040,2645,2801,3371,2480
158,7420,379,473,359,349,833,1086,617,585,846,740
159,9059,367,515,348,380,947,1414,672,753,1221,987
160,8528,443,404,387,531,968,1176,761,486,1022,701
161,7898,382,324,368,387,878,1093,591,778,1122,707
162,24378,1167,1493,1462,1354,2762,3484,1974,1832,2420,2030
163,10320,506,575,531,503,1202,1504,792,751,1120,768
164,19518,1128,1356,1115,1116,2070,2640,1669,1076,1856,1371
165,10893,527,574,621,560,1490,1541,735,694,1190,842
166,24098,1158,1574,1457,1300,2997,3358,1538,1571,2466,1617
167,20212,966,1036,1021,1058,2142,2799,1398,1442,2507,1758
168,63372,4451,6033,4144,3869,7155,8253,4012,3280,4983,3805
169,8309,398,427,427,429,943,1249,642,582,1008,792
