Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,TotalPop
2746,3471,3542,3280,7476,55036
10031,10706,11375,11374,25367,203360
1071,1736,1917,1844,3195,26201
1137,1419,1627,1625,2960,22580
3224,3225,3299,3401,7131,57667
454,686,755,422,1607,10478
1001,1119,1216,1206,2450,20126
6192,7981,7917,7021,13983,115527
1453,2296,2075,1862,3895,33895
1278,1312,1352,1177,2974,25855
2143,2669,2816,2802,5805,43805
691,710,641,659,1480,13188
1314,1628,1306,1301,2948,24625
710,713,716,635,1647,13407
669,787,804,818,1890,14939
2655,3025,3261,3179,6672,51073
2596,3217,3395,3122,6459,54435
576,770,611,559,1381,12649
490,688,445,609,1397,10955
1672,2181,2103,2131,4170,37519
804,731,817,686,1725,13866
3860,4892,5248,4772,10153,81703
2571,3314,3626,3537,5895,49393
2220,2733,2468,2294,4482,40755
3671,4313,4270,4296,9105,71194
4101,5552,5401,5542,11237,80989
1942,2367,2366,2417,4860,37621
5106,6546,6033,5854,13292,103132
870,950,909,917,1947,16657
1604,2259,1801,2003,4028,31507
1349,1433,1492,1465,3258,26572
316,535,506,496,753,8533
931,908,844,806,1606,14995
776,1073,784,815,2201,17110
5076,6201,6858,6713,13031,104108
2554,2912,2913,2835,6570,52326
33372,43822,48650,46208,83485,659460
630,711,729,772,1568,14021
4875,8008,5519,5278,10318,92590
1529,1947,2041,1911,4044,33288
11626,22538,12059,10395,18921,156597
4727,5251,5565,6357,12518,91695
370,716,672,593,1080,10362
1761,2264,1143,907,1833,19358
18894,24839,24998,23587,43015,353213
1215,1050,1235,1048,2262,19743
1352,1643,1727,1530,3638,30058
4924,5737,5962,5641,11831,94738
21955,29120,29830,26662,49629,414328
1087,1347,1113,1092,2449,21745
12559,17496,17284,15722,28534,227120
5830,6968,7324,7307,15232,119157
941,1002,220,412,1143,9680
1087,1226,1292,1247,2302,20170
