,Actual Uemployment rate,Predicted Unemployement Rate
0,5.2,6.4
1,5.5,6.1
2,12.4,13.7
3,8.2,7.0
4,4.9,6.7
5,12.1,14.6
6,7.6,9.4
7,10.1,9.6
8,6.4,7.7
9,5.3,6.4
10,6.7,8.0
11,9.8,11.2
12,15.2,14.6
13,6.4,7.8
14,7.8,7.3
15,6.0,6.2
16,6.9,7.4
17,14.5,16.9
18,11.3,12.3
19,10.7,8.6
20,6.4,8.1
21,5.8,6.2
22,10.4,8.9
23,13.7,13.6
24,5.1,6.8
25,7.3,6.9
26,13.7,12.3
27,7.6,7.4
28,8.4,8.0
29,8.2,8.3
30,8.9,9.3
31,14.8,17.2
32,11.7,11.5
33,6.7,6.6
34,7.6,7.3
35,7.7,8.1
36,7.7,7.9
37,7.9,8.6
38,6.6,6.2
39,7.2,8.1
40,5.7,6.8
41,7.1,6.4
42,11.2,12.0
43,14.5,13.6
44,6.5,6.7
45,12.8,10.0
46,5.5,7.8
47,6.5,7.2
48,7.5,8.4
49,21.6,16.1
50,7.6,8.1
51,6.5,7.9
52,11.8,12.0
53,12.2,11.2
54,8.7,9.1
55,5.8,8.3
56,9.7,9.6
57,5.8,6.9
58,4.3,4.6
59,13.4,14.6
60,10.0,10.6
61,9.2,7.8
62,6.7,6.6
63,10.0,9.3
64,11.0,15.1
65,17.2,16.2
66,9.4,7.8
67,2.4,4.4
68,1.9,2.1
69,5.8,5.6
70,19.3,17.0
71,6.8,5.7
72,1.9,3.6
73,11.4,12.5
74,8.0,6.1
75,2.7,2.6
76,11.7,10.6
77,4.8,4.5
78,8.6,7.1
79,7.0,6.7
80,5.3,4.7
81,28.8,25.0
82,13.2,10.5
83,9.8,7.8
84,16.6,15.9
85,9.5,8.9
86,20.1,19.2
87,4.8,5.9
88,13.5,12.0
89,5.0,3.9
90,7.9,5.2
91,12.5,7.2
92,7.5,7.8
93,7.0,6.5
94,6.5,7.2
95,19.7,16.6
96,14.1,18.2
97,7.6,7.4
98,8.3,8.7
99,11.7,10.5
100,12.2,11.3
101,7.6,7.0
102,9.5,8.9
103,6.0,6.7
104,10.1,10.1
105,16.3,16.9
106,8.4,8.3
107,7.8,8.8
108,8.7,9.5
109,7.3,7.7
110,10.9,10.1
111,8.5,6.9
112,9.9,9.1
113,5.8,5.5
114,3.1,3.6
115,6.1,6.5
116,9.4,8.1
117,5.7,6.2
118,5.1,5.1
119,10.1,10.4
120,4.5,7.4
121,5.3,7.9
122,5.5,7.5
123,6.6,8.0
124,9.5,8.7
125,7.1,7.0
126,6.0,6.3
127,6.2,6.5
128,8.4,8.8
129,6.8,7.3
130,6.4,7.0
131,12.2,14.1
132,9.0,11.2
133,5.1,5.8
134,6.6,8.8
135,6.9,6.8
136,9.0,7.6
137,8.7,7.1
138,7.0,6.7
139,6.4,7.4
140,6.2,6.4
141,5.7,7.1
142,6.0,5.7
143,9.6,7.6
144,7.0,7.2
145,10.0,9.7
146,4.7,5.7
147,8.3,10.1
148,8.2,6.1
149,15.3,13.5
150,8.1,10.5
151,10.3,7.2
152,8.1,6.8
153,4.8,5.0
154,4.5,6.4
155,7.7,8.3
156,8.0,8.0
157,11.6,9.9
158,9.1,11.1
159,4.4,4.7
160,4.8,8.3
161,4.0,4.7
162,8.3,7.8
163,6.5,6.2
164,15.7,14.6
165,5.1,5.8
166,5.4,8.2
167,8.5,8.1
168,7.3,6.4
169,7.6,5.4
170,5.9,6.6
171,3.5,5.3
172,10.0,10.1
173,4.3,4.3
174,10.6,8.2
175,3.6,5.4
176,5.6,6.0
177,6.6,7.9
178,6.7,7.7
179,8.3,6.3
180,8.3,8.0
181,8.3,8.8
182,4.9,5.6
183,6.2,5.9
184,10.1,9.9
185,6.3,6.5
186,6.0,6.7
187,14.6,9.3
188,9.3,10.1
189,9.1,9.5
190,7.1,9.1
191,5.9,8.0
192,6.9,7.2
193,9.5,9.7
194,8.1,8.0
195,10.4,10.7
196,9.2,9.7
197,8.9,8.8
198,16.0,13.2
199,5.2,5.8
200,10.9,10.2
201,9.7,10.3
202,11.2,11.5
203,7.5,8.4
204,7.8,8.3
205,8.3,7.3
206,4.5,4.7
207,10.0,9.2
208,10.4,9.5
209,14.6,12.4
210,7.5,6.8
211,3.6,9.2
212,6.0,6.9
213,5.4,5.7
214,7.3,7.3
215,5.8,6.1
216,5.6,6.2
217,9.4,10.6
218,9.9,10.1
219,8.8,9.3
220,8.8,9.0
221,9.9,10.1
222,7.1,6.9
223,5.4,5.8
224,10.1,10.6
225,4.8,5.6
226,4.7,5.1
227,6.6,6.6
228,5.7,5.4
229,6.7,6.4
230,6.8,8.3
231,5.3,6.1
232,9.1,9.8
233,8.5,8.9
234,5.9,6.3
235,11.8,11.3
236,10.5,9.9
237,10.1,10.3
238,9.6,7.5
239,10.0,10.2
240,7.9,9.5
241,6.6,6.6
242,7.2,7.5
243,9.9,11.4
244,5.1,6.4
245,9.9,8.8
246,5.2,5.6
247,5.4,5.7
248,4.5,4.0
249,9.3,7.3
250,5.2,4.6
251,4.0,3.7
252,2.5,4.2
253,8.1,5.8
254,3.2,4.0
255,9.4,7.8
256,9.1,11.2
257,21.4,18.2
258,8.7,9.4
259,8.5,8.3
260,4.5,5.4
261,0.4,4.2
262,3.3,2.8
263,2.7,3.5
264,3.6,4.8
265,6.8,6.3
266,6.2,7.2
267,5.4,5.4
268,3.3,3.7
269,4.6,4.6
270,7.3,5.8
271,4.1,2.5
272,7.9,10.3
273,1.8,2.1
274,4.3,4.4
275,3.1,2.2
276,5.3,4.3
277,5.7,5.0
278,4.4,4.2
279,5.3,5.1
280,7.8,7.2
281,3.7,5.1
282,6.2,6.9
283,8.0,6.6
284,1.6,1.8
285,3.6,4.7
286,5.9,7.8
287,8.0,7.6
288,4.5,4.5
289,9.3,8.3
290,5.9,4.7
291,4.6,4.6
292,2.0,3.8
293,4.3,5.1
294,8.4,7.2
295,9.3,8.6
296,6.3,3.3
297,8.8,6.6
298,3.1,3.3
299,7.7,7.5
300,9.8,8.3
301,3.8,4.3
302,6.8,5.3
303,3.3,3.8
304,6.7,5.9
305,4.2,3.6
306,5.3,5.2
307,2.4,2.5
308,7.6,6.8
309,7.4,6.9
310,6.0,5.0
311,5.1,4.5
312,7.7,7.2
313,7.0,6.2
314,5.8,4.9
315,7.6,6.9
316,6.7,6.9
317,6.5,6.0
318,6.1,6.2
319,8.0,8.5
320,6.6,7.4
321,5.8,7.7
322,6.4,7.2
