Id2,State,Unemployment rate
1,Alabama,10.2
2,Alaska,8.4
4,Arizona,9.9
5,Arkansas,8.4
6,California,11
8,Colorado,7.9
9,Connecticut,9.6
10,Delaware,8.5
11,District of Columbia,10.6
12,Florida,10.9
13,Georgia,10.8
15,Hawaii,6.7
16,Idaho,8.1
17,Illinois,10
18,Indiana,8.8
19,Iowa,5.4
20,Kansas,6.6
21,Kentucky,9.3
22,Louisiana,8.7
23,Maine,7.4
24,Maryland,8
25,Massachusetts,8.4
26,Michigan,11.4
27,Minnesota,6.5
28,Mississippi,10.9
29,Missouri,8.4
30,Montana,6.8
31,Nebraska,5.4
32,Nevada,11.8
33,New Hampshire,6.5
34,New Jersey,9.7
35,New Mexico,9.6
36,New York,8.9
37,North Carolina,10.5
38,North Dakota,3.1
39,Ohio,9.2
40,Oklahoma,6.8
41,Oregon,10.5
42,Pennsylvania,8.6
44,Rhode Island,9.5
45,South Carolina,10.6
46,South Dakota,4.8
47,Tennessee,9.5
48,Texas,7.7
49,Utah,6.9
50,Vermont,6.2
51,Virginia,6.9
53,Washington,8.8
54,West Virginia,8.2
55,Wisconsin,7.2
56,Wyoming,5.2
72,Puerto Rico,18.3
