StateId,State,State Unemployment rate
1,Alabama,9.3
2,Alaska,8.2
4,Arizona,8.9
5,Arkansas,7.7
6,California,9.9
8,Colorado,6.9
9,Connecticut,8.8
10,Delaware,7.7
11,District of Columbia,9.6
12,Florida,9.7
13,Georgia,9.7
15,Hawaii,6.1
16,Idaho,7.2
17,Illinois,9.1
18,Indiana,7.8
19,Iowa,4.9
20,Kansas,5.9
21,Kentucky,8.4
22,Louisiana,8.1
23,Maine,6.8
24,Maryland,7.4
25,Massachusetts,7.6
26,Michigan,9.8
27,Minnesota,5.6
28,Mississippi,10.3
29,Missouri,7.5
30,Montana,6.2
31,Nebraska,4.7
32,Nevada,10.5
33,New Hampshire,5.8
34,New Jersey,8.8
35,New Mexico,9.2
36,New York,8.2
37,North Carolina,9.4
38,North Dakota,2.9
39,Ohio,8.2
40,Oklahoma,6.3
41,Oregon,9.3
42,Pennsylvania,7.9
44,Rhode Island,8.5
45,South Carolina,9.5
46,South Dakota,4.5
47,Tennessee,8.4
48,Texas,7
49,Utah,5.8
50,Vermont,5.5
51,Virginia,6.5
53,Washington,7.9
54,West Virginia,7.8
55,Wisconsin,6.3
56,Wyoming,4.9
72,Puerto Rico,18.1
