StateId,CensusId,State,County,TotalPop,Percent Population with age between 16 and 44,Percent Population with age between 45 and 74,Percent Population with age between 75 and over,Men,Hispanic,White,Black,Native,Asian,Pacific,Citizen Voting Age Pop,Median Household Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,WorkAtHome,Mean Commute Time,National Unemployment Rate for 2014,State Unemployment rate for 2014,Unemployment,Class
1,1001,Alabama,Autauga,55221,38,34,5,26745,2.6,75.8,18.5,0.4,1,0,40725,51281,24974,12.9,18.6,33.2,17,24.2,8.6,17.1,87.5,8.8,0.1,0.5,1.8,26.5,9.2,10.2,7.6,1
1,1003,Alabama,Baldwin,195121,33,37,7,95314,4.5,83.1,9.5,0.6,0.7,0,147695,50254,27317,13.4,19.2,33.1,17.7,27.1,10.8,11.2,84.7,8.8,0.1,1,3.9,26.4,9.2,10.2,7.5,1
1,1005,Alabama,Barbour,26932,39,38,7,14497,4.6,46.2,46.7,0.2,0.4,0,20714,32964,16824,26.7,45.3,26.8,16.1,23.1,10.8,23.1,83.8,10.9,0.4,1.8,1.6,24.1,9.2,10.2,17.6,3
1,1007,Alabama,Bibb,22604,41,35,6,12073,2.2,74.5,21.4,0.4,0.1,0,17495,38678,18431,16.8,27.9,21.5,17.9,17.8,19,23.7,83.2,13.5,0.5,0.6,0.7,28.8,9.2,10.2,8.3,2
1,1009,Alabama,Blount,57710,36,37,6,28512,8.6,87.9,1.5,0.3,0.1,0,42345,45813,20532,16.7,27.2,28.5,14.1,23.9,13.5,19.9,84.9,11.2,0.4,0.9,2.3,34.9,9.2,10.2,7.7,1
1,1011,Alabama,Bullock,10678,40,36,6,5660,4.4,22.2,70.7,1.2,0.2,0,8057,31938,17580,24.6,38.4,18.8,15,19.7,20.1,26.4,74.9,14.9,0.7,5,2.8,27.5,9.2,10.2,18,3
1,1013,Alabama,Butler,20354,35,37,8,9502,1.2,53.3,43.8,0.1,0.4,0,15581,32229,18390,25.4,39.2,27.5,16.6,21.9,10.3,23.7,84.5,12.4,0,0.8,1.7,24.6,9.2,10.2,10.9,2
1,1015,Alabama,Calhoun,116648,38,36,7,56274,3.5,73,20.3,0.2,0.9,0,88612,41703,21374,20.5,31.6,27.3,17.7,24.2,10.5,20.4,85.3,9.4,0.2,1.2,2.7,24.1,9.2,10.2,12.3,3
1,1017,Alabama,Chambers,34079,35,39,8,16258,0.4,57.3,40.3,0.2,0.8,0,26462,34177,21071,21.6,37.2,23.3,14.5,26.3,11.5,24.4,85.1,11.9,0.2,0.3,2.1,25.1,9.2,10.2,8.9,2
1,1019,Alabama,Cherokee,26008,31,43,7,12975,1.5,91.7,4.8,0.6,0.3,0,20600,36296,21811,19.2,30.1,29.3,16,19.5,13.7,21.5,83.9,12.1,0.2,0.6,2.5,27.4,9.2,10.2,7.9,1
1,1021,Alabama,Chilton,43819,37,35,6,21619,7.6,80.5,10.2,0.4,0.3,0,31728,41627,21399,19.1,30.6,27.2,14.3,23.7,15.3,19.5,81.2,14.2,0.2,1.1,1.9,32,9.2,10.2,9.1,2
1,1023,Alabama,Choctaw,13395,32,42,9,6382,0.4,55.9,42.9,0,0,0,10568,33536,20755,23.4,34.4,24.9,15.4,19.6,18.3,21.8,85.5,10.3,0.1,1.9,0.8,30.7,9.2,10.2,13.6,3
1,1025,Alabama,Clarke,25070,36,39,8,11834,0.3,53.4,45.3,0,0.4,0.4,19258,32011,20064,24.7,29.8,21.1,15,25.5,11.6,26.9,82,12.8,0.2,1.3,1.1,23,9.2,10.2,19.4,3
1,1027,Alabama,Clay,13537,33,40,8,6671,3.2,79.9,14.4,0.7,0,0,10312,35327,18905,16.7,22.5,21.5,13.3,20.8,15.3,29.1,84.3,10.4,0.6,1.8,2.1,30.3,9.2,10.2,9.4,2
1,1029,Alabama,Cleburne,15002,34,38,7,7334,2.3,92.5,2.9,0.2,0.4,0,11367,38056,20151,17,26.3,28.9,11.7,23.1,15.6,20.7,77.6,17.7,0.1,0.2,3.4,33.3,9.2,10.2,8.3,2
1,1031,Alabama,Coffee,50884,37,35,7,25174,6.4,71.5,17.2,0.8,1.2,0,37575,46729,24936,17.1,26.4,32.2,18.6,22.7,12.1,14.5,85.3,9.6,0.1,1,2.8,20.9,9.2,10.2,7.1,1
1,1033,Alabama,Colbert,54444,35,38,8,26303,2.4,78.9,15.6,0.6,0.3,0.1,42075,40576,22546,17.4,26.1,27.3,15.5,25.7,10.7,20.7,90.7,6,0.2,0.9,1.5,22.8,9.2,10.2,9,2
1,1035,Alabama,Conecuh,12865,32,41,8,6176,1.6,51,44.7,0.3,0,0,9930,24900,15968,33.8,41.5,19.4,21,20.4,11.4,27.9,93.6,4.3,0,0.6,1.3,29.7,9.2,10.2,22.6,3
1,1037,Alabama,Coosa,11027,34,44,7,5579,2.1,65.2,30.7,0.1,0,0,8803,31212,17519,19.3,27.5,18,19.8,21.9,12.7,27.6,85.4,10.1,0.5,0.9,2.1,28.6,9.2,10.2,17,3
1,1039,Alabama,Covington,37886,34,39,9,18339,1.5,83.3,13,0.5,0.3,0.1,29358,36444,20977,20.2,31.2,26.2,15.6,23.6,15.2,19.4,83,11.2,0.2,1.5,2.2,25.5,9.2,10.2,11.2,2
1,1041,Alabama,Crenshaw,13938,35,38,7,6863,1.7,70.5,23.5,0.8,1.8,0,10591,36022,20585,16.7,19.2,27.6,11.6,23.8,12.5,24.6,81.7,11.6,0,1.3,4.6,27.9,9.2,10.2,9.7,2
1,1043,Alabama,Cullman,80965,35,37,7,40081,4.3,92.2,1.1,0.4,0.6,0,61222,38971,20881,18.5,25,28.5,15.6,23.9,13.9,18.1,84.9,10,0.1,1.5,2.6,26.4,9.2,10.2,7.3,1
1,1045,Alabama,Dale,49866,39,34,6,24708,6,69.8,19.4,0.5,1.2,0,37331,45028,22566,19.1,26.2,27.1,17.2,24.8,14.8,16.2,87.4,6.6,0.1,1.6,2.6,20.4,9.2,10.2,10.9,2
1,1047,Alabama,Dallas,42154,36,38,6,19450,0.3,28.6,69.2,0.2,0.3,0,31231,27306,17808,35,53.8,26.5,19.5,19.3,10.1,24.5,82.3,11.4,0.3,2.2,2.2,23.9,9.2,10.2,16.4,3
