,TotalPop,Total; Estimate; AGE - 16 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 44 years,t1,Total; Estimate; AGE - 45 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 74 years,t2,Total; Estimate; AGE - 75 years and over,Percent Population with age between 16 and 44,Percent Population with age between 45 and 74,Percent Population with age between 75 and over
0,55036,2746,3471,3542,3280,7476,20515,7973,3963,2680,4633,19249,3210,37,35.0,6.0
1,203360,10031,10706,11375,11374,25367,68853,27641,13746,14832,23312,79531,15375,34,39.0,8.0
2,26201,1071,1736,1917,1844,3195,9763,3531,1797,1579,2781,9688,1790,37,37.0,7.0
3,22580,1137,1419,1627,1625,2960,8768,3401,1473,1371,1959,8204,1443,39,36.0,6.0
4,57667,3224,3225,3299,3401,7131,20280,8169,3875,3592,6038,21674,3970,35,38.0,7.0
5,10478,454,686,755,422,1607,3924,1554,668,781,1011,4014,579,37,38.0,6.0
6,20126,1001,1119,1216,1206,2450,6992,2482,1453,1420,2033,7388,1698,35,37.0,8.0
7,115527,6192,7981,7917,7021,13983,43094,15199,7740,8110,11270,42319,7735,37,37.0,7.0
8,33895,1453,2296,2075,1862,3895,11581,4730,2635,2201,3710,13276,2590,34,39.0,8.0
9,25855,1278,1312,1352,1177,2974,8093,3770,2011,2091,3353,11225,2069,31,43.0,8.0
10,43805,2143,2669,2816,2802,5805,16235,5656,3189,2639,4106,15590,2684,37,36.0,6.0
11,13188,691,710,641,659,1480,4181,1866,1044,923,1629,5462,1207,32,41.0,9.0
12,24625,1314,1628,1306,1301,2948,8497,3432,1800,1590,2544,9366,2000,35,38.0,8.0
13,13407,710,713,716,635,1647,4421,1885,1092,872,1528,5377,1080,33,40.0,8.0
14,14939,669,787,804,818,1890,4968,2142,1042,931,1597,5712,1163,33,38.0,8.0
15,51073,2655,3025,3261,3179,6672,18792,7041,3556,2875,4661,18133,3491,37,36.0,7.0
16,54435,2596,3217,3395,3122,6459,18789,7468,3917,3772,5897,21054,4393,35,39.0,8.0
17,12649,576,770,611,559,1381,3897,1659,1020,878,1612,5169,1052,31,41.0,8.0
18,10955,490,688,445,609,1397,3629,1490,1031,841,1325,4687,979,33,43.0,9.0
19,37519,1672,2181,2103,2131,4170,12257,5042,2680,2677,4213,14612,3400,33,39.0,9.0
20,13866,804,731,817,686,1725,4763,1877,1112,884,1489,5362,998,34,39.0,7.0
21,81703,3860,4892,5248,4772,10153,28925,11140,5740,5159,8634,30673,5874,35,38.0,7.0
22,49393,2571,3314,3626,3537,5895,18943,6194,3538,2700,4586,17018,3212,38,34.0,7.0
23,40755,2220,2733,2468,2294,4482,14197,5159,3010,2809,3909,14887,2718,35,37.0,7.0
24,71194,3671,4313,4270,4296,9105,25655,9521,4720,4367,6927,25535,4488,36,36.0,6.0
25,80989,4101,5552,5401,5542,11237,31833,11415,5754,4509,7066,28744,4354,39,35.0,5.0
26,37621,1942,2367,2366,2417,4860,13952,5098,2478,2264,3682,13522,2731,37,36.0,7.0
27,103132,5106,6546,6033,5854,13292,36831,14034,7410,6715,10886,39045,7521,36,38.0,7.0
28,16657,870,950,909,917,1947,5593,2223,1115,1265,1961,6564,1378,34,39.0,8.0
29,31507,1604,2259,1801,2003,4028,11695,4083,1765,1915,2999,10762,2140,37,34.0,7.0
30,26572,1349,1433,1492,1465,3258,8997,3642,2093,1657,2937,10329,2122,34,39.0,8.0
31,8533,316,535,506,496,753,2606,1043,680,699,915,3337,738,31,39.0,9.0
32,14995,931,908,844,806,1606,5095,2037,923,1235,1583,5778,1127,34,39.0,8.0
33,17110,776,1073,784,815,2201,5649,2228,1261,1246,2165,6900,1423,33,40.0,8.0
34,104108,5076,6201,6858,6713,13031,37879,13864,7298,6271,9987,37420,7216,36,36.0,7.0
35,52326,2554,2912,2913,2835,6570,17784,7245,4012,3633,5935,20825,3873,34,40.0,7.0
36,659460,33372,43822,48650,46208,83485,255537,84798,45746,41664,54828,227036,41669,39,34.0,6.0
37,14021,630,711,729,772,1568,4410,1924,1134,922,1580,5560,1309,31,40.0,9.0
38,92590,4875,8008,5519,5278,10318,33998,12034,6567,5969,9967,34537,7516,37,37.0,8.0
39,33288,1529,1947,2041,1911,4044,11472,4987,2677,2103,3478,13245,2129,34,40.0,6.0
40,156597,11626,22538,12059,10395,18921,75539,18343,8221,7677,10527,44768,6309,48,29.0,4.0
41,91695,4727,5251,5565,6357,12518,34418,13877,6310,5264,7906,33357,5229,38,36.0,6.0
42,10362,370,716,672,593,1080,3431,1444,795,680,1040,3959,761,33,38.0,7.0
43,19358,1761,2264,1143,907,1833,7908,2275,1268,1414,2071,7028,1369,41,36.0,7.0
44,353213,18894,24839,24998,23587,43015,135333,52641,25475,20659,28399,127174,20982,38,36.0,6.0
45,19743,1215,1050,1235,1048,2262,6810,2581,1307,1436,2037,7361,1651,34,37.0,8.0
46,30058,1352,1643,1727,1530,3638,9890,4282,2033,2055,3487,11857,2654,33,39.0,9.0
47,94738,4924,5737,5962,5641,11831,34095,12345,6003,5772,9383,33503,6311,36,35.0,7.0
48,414328,21955,29120,29830,26662,49629,157196,53726,27928,26225,36891,144770,24987,38,35.0,6.0
49,21745,1087,1347,1113,1092,2449,7088,2939,1665,1488,2359,8451,1689,33,39.0,8.0
50,227120,12559,17496,17284,15722,28534,91595,28451,15113,13010,17922,74496,13282,40,33.0,6.0
51,119157,5830,6968,7324,7307,15232,42661,16927,8565,7363,11381,44236,7995,36,37.0,7.0
52,9680,941,1002,220,412,1143,3718,1058,747,487,1035,3327,756,38,34.0,8.0
53,20170,1087,1226,1292,1247,2302,7154,2936,1490,1332,2070,7828,1572,35,39.0,8.0
54,33287,2568,5273,2709,1680,3412,15642,3496,1919,1697,2774,9886,1970,47,30.0,6.0
55,22530,1231,1294,1081,1153,2806,7565,2919,1506,1700,2569,8694,1860,34,39.0,8.0
56,58480,2764,4028,4862,4319,7278,23251,7563,4008,3093,4553,19217,3034,40,33.0,5.0
57,86937,3673,5083,5327,5773,11645,31501,12508,6052,5467,8144,32171,5332,36,37.0,6.0
58,208721,10830,11999,12629,13850,29867,79175,29896,13411,13039,17860,74206,10711,38,36.0,5.0
59,13084,1053,1491,947,527,1268,5286,1497,1000,854,1144,4495,1007,40,34.0,8.0
60,80888,3915,5292,5089,4824,10291,29411,11204,5853,5461,8105,30623,5276,36,38.0,7.0
61,40756,2060,2341,2142,2158,4452,13153,5561,3290,2906,4928,16685,3172,32,41.0,8.0
62,204424,16816,23929,16650,13152,24238,94785,22863,11816,11688,14667,61034,10071,46,30.0,5.0
63,64927,3107,3827,3967,3597,7747,22245,8957,4543,4532,7048,25080,4806,34,39.0,7.0
64,16746,1049,899,771,1078,1801,5598,2670,1184,1210,1743,6807,1150,33,41.0,7.0
65,10919,622,696,624,567,1239,3748,1328,733,806,1114,3981,831,34,36.0,8.0
66,23968,1104,1224,1280,1316,2758,7682,3420,1906,1637,2954,9917,1984,32,41.0,8.0
67,3338,123,269,244,234,482,1352,844,241,236,209,1530,65,41,46.0,2.0
68,5784,241,504,533,501,894,2673,1076,436,388,259,2159,60,46,37.0,1.0
69,298225,14330,25089,27283,24367,38243,129312,38476,20333,15460,18611,92880,9537,43,31.0,3.0
70,17957,1201,1421,1471,1217,1950,7260,1977,881,815,902,4575,365,40,25.0,2.0
71,917,42,48,48,49,127,314,165,97,75,55,392,34,34,43.0,4.0
72,2303,115,318,154,163,281,1031,342,169,307,116,934,58,45,41.0,3.0
